Model,f_1 macro,f_1 micro,SB1,SB2
Neural Network title,0.407850870657093,0.6428079496261313,0.5800253921038193,0.2712766189515905
Neural Network text,0.3710352248583274,0.640249901613538,0.5544743583896844,0.20450950521947256
