Model,f_1 macro,f_1 micro
Logistic Regression title,0.2055402404953925,0.5291223927587564
KNN title,0.2719261277585822,0.47953561589925225
SVM title,0.30057227216196286,0.5775777253049981
Logistic Regression text,0.18787689409455943,0.5246950019677293
KNN text,0.21164749897283125,0.42788272333726873
SVM text,0.33358547176233677,0.5670011806375442
